22,02/02/2018,06/02/2018,10/02/2018,4444
22,,12/02/2018,15/02/2018,7676
22,,16/02/2018,18/02/2018,9091
23,,01/03/2018,05/03/2018,1234
23,02/03/2018,06/03/2018,10/03/2018,4549
23,,12/03/2018,15/03/2018,9912
23,,16/03/2018,18/03/2018,4834
24,,01/04/2018,05/04/2018,1220
24,02/04/2018,06/04/2018,10/04/2018,7200
24,,12/04/2018,15/04/2018,9199
24,,16/04/2018,18/04/2018,8233
25,,01/05/2018,05/05/2018,1234
25,02/05/2018,06/05/2018,10/05/2018,2222
25,,12/05/2018,15/05/2018,7777
25,,16/05/2018,18/05/2018,9033
26,,01/06/2018,05/06/2018,2654
26,02/06/2018,06/06/2018,10/06/2018,4444
26,,12/06/2018,15/06/2018,7676
26,,16/06/2018,18/06/2018,9091
27,,01/07/2018,05/07/2018,1234
27,02/07/2018,06/07/2018,10/07/2018,4549
27,,12/07/2018,15/07/2018,9912
27,,16/07/2018,18/07/2018,4834
28,,01/08/2018,05/08/2018,1220
28,02/08/2018,06/08/2018,10/08/2018,7200
28,,12/08/2018,15/08/2018,9199
28,,16/08/2018,18/08/2018,8233
29,,01/09/2018,05/09/2018,1234
29,02/09/2018,06/09/2018,10/09/2018,4549
29,,12/09/2018,15/09/2018,9912
29,,16/09/2018,18/09/2018,4834
30,,01/10/2018,05/10/2018,1220
30,02/10/2018,06/10/2018,10/10/2018,7200
30,,12/10/2018,15/10/2018,9199
30,,16/10/2018,18/10/2018,8233
31,,01/01/2019,05/01/2019,1234
31,02/01/2019,06/01/2019,10/01/2019,2222
31,,12/01/2019,15/01/2019,7777
31,,16/01/2019,18/01/2019,9033
32,,01/02/2019,05/02/2019,2654
32,02/02/2019,06/02/2019,10/02/2019,4444
32,,12/02/2019,15/02/2019,7676
32,,16/02/2019,18/02/2019,9091
33,,01/03/2019,05/03/2019,1234
33,02/03/2019,06/03/2019,10/03/2019,4549
33,,12/03/2019,15/03/2019,9912
33,,16/03/2019,18/03/2019,4834
34,,01/04/2019,05/04/2019,1220
34,02/04/2019,06/04/2019,10/04/2019,7200
34,,12/04/2019,15/04/2019,9199
34,,16/04/2019,18/04/2019,8233
35,,01/05/2019,05/05/2019,1234
35,02/05/2019,06/05/2019,10/05/2019,2222
35,,12/05/2019,15/05/2019,7777
35,,16/05/2019,18/05/2019,9033
36,,01/06/2019,05/06/2019,2654
36,02/06/2019,06/06/2019,10/06/2019,4444
36,,12/06/2019,15/06/2019,7676
36,,16/06/2019,18/06/2019,9091
37,,01/07/2019,05/07/2019,1234
37,02/07/2019,06/07/2019,10/07/2019,4549
37,,12/07/2019,15/07/2019,9912
37,,16/07/2019,18/07/2019,4834
38,,01/08/2019,05/08/2019,1220
38,02/08/2019,06/08/2019,10/08/2019,7200
38,,12/08/2019,15/08/2019,9199
38,,16/08/2019,18/08/2019,8233
39,,01/09/2019,05/09/2019,1234
39,02/09/2019,06/09/2019,10/09/2019,4549
39,,12/09/2019,15/09/2019,9912
39,,16/09/2019,18/09/2019,4834
40,,01/10/2019,05/10/2019,1220
40,02/10/2019,06/10/2019,10/10/2019,7200
40,,12/10/2019,15/10/2019,9199
40,,16/10/2019,18/10/2019,8233
41,,01/01/2020,05/01/2020,1244
41,02/01/2020,06/01/2020,10/01/2020,2222
41,,12/01/2020,15/01/2020,7777
41,,16/01/2020,18/01/2020,9043
42,,01/02/2020,05/02/2020,2654
42,02/02/2020,06/02/2020,10/02/2020,4444
42,,12/02/2020,15/02/2020,7676
42,,16/02/2020,18/02/2020,9091
43,,01/03/2020,05/03/2020,1244
43,02/03/2020,06/03/2020,10/03/2020,4549
43,,12/03/2020,15/03/2020,9912
43,,16/03/2020,18/03/2020,4844
44,,01/04/2020,05/04/2020,1220
44,02/04/2020,06/04/2020,10/04/2020,7200
44,,12/04/2020,15/04/2020,9199
44,,16/04/2020,18/04/2020,8243
45,,01/05/2020,05/05/2020,1244
45,02/05/2020,06/05/2020,10/05/2020,2222
45,,12/05/2020,15/05/2020,7777
45,,16/05/2020,18/05/2020,9043
46,,01/06/2020,05/06/2020,2654
46,02/06/2020,06/06/2020,10/06/2020,4444
46,,12/06/2020,15/06/2020,7676
46,,16/06/2020,18/06/2020,9091
47,,01/07/2020,05/07/2020,1244
47,02/07/2020,06/07/2020,10/07/2020,4549
47,,12/07/2020,15/07/2020,9912
47,,16/07/2020,18/07/2020,4844
48,,01/08/2020,05/08/2020,1220
48,02/08/2020,06/08/2020,10/08/2020,7200
48,,12/08/2020,15/08/2020,9199
48,,16/08/2020,18/08/2020,8243
49,,01/09/2020,05/09/2020,1244
49,02/09/2020,06/09/2020,10/09/2020,4549
49,,12/09/2020,15/09/2020,9912
49,,16/09/2020,18/09/2020,4844
50,,01/10/2020,05/10/2020,1220
50,02/10/2020,06/10/2020,10/10/2020,7200
50,,12/10/2020,15/10/2020,9199
50,,16/10/2020,18/10/2020,8243
